"scientific_name","longitude","latitude","group"
"background",21.25,40.75,2
"background",-5.25,42.75,1
"background",19.25,37.25,2
"background",22.25,46.75,4
"background",10.25,48.25,4
"background",15.75,44.25,2
"background",2.25,36.25,2
"background",12.75,50.25,4
"background",-3.75,35.75,1
"background",-8.25,40.25,1
"background",-4.25,41.25,1
"background",-6.75,41.75,1
"background",-6.25,42.75,1
"background",-6.25,38.25,1
"background",9.25,39.75,2
"background",-5.75,45.25,1
"background",14.25,36.25,2
"background",10.75,50.25,4
"background",0.75,37.75,2
"background",4.75,47.75,3
"background",6.25,47.25,3
"background",5.75,36.75,2
"background",10.25,50.25,4
"background",0.25,50.25,3
"background",7.25,46.75,3
"background",3.25,49.75,3
"background",-2.25,43.25,1
"background",7.25,51.75,3
"background",14.75,38.25,2
"background",16.75,37.75,2
"background",14.75,37.25,2
"background",-6.25,37.25,1
"background",6.75,47.25,3
"background",8.75,43.75,2
"background",18.75,39.25,2
"background",-8.75,41.75,1
"background",-1.75,42.75,1
"background",2.25,37.75,2
"background",22.75,41.25,2
"background",-6.25,46.25,3
"background",22.75,38.75,2
"background",15.75,38.75,2
"background",16.25,41.75,2
"background",0.75,48.75,3
"background",9.25,50.25,4
"background",8.25,45.25,2
"background",12.75,37.25,2
"background",-0.25,41.75,2
"background",-3.25,39.25,1
"background",7.75,43.25,2
"background",16.25,43.25,2
"background",16.75,46.25,4
"background",4.25,41.75,2
"background",0.25,46.25,3
"background",1.25,43.25,2
"background",11.25,47.75,4
"background",12.75,51.25,4
"background",9.25,36.25,2
"background",-3.25,48.75,3
"background",17.75,49.75,4
"background",12.25,37.25,2
"background",0.25,37.75,2
"background",10.75,37.25,2
"background",-1.25,39.25,1
"background",15.75,42.75,2
"background",10.75,38.25,2
"background",2.75,39.75,2
"background",6.75,49.25,3
"background",12.25,42.25,2
"background",10.75,50.75,4
"background",24.25,40.75,2
"background",13.25,47.75,4
"background",-0.25,49.75,3
"background",1.25,39.75,2
"background",3.25,46.75,3
"background",4.75,50.25,3
"background",17.75,40.75,2
"background",-0.75,44.25,2
"background",0.75,40.75,2
"background",-7.25,38.75,1
"background",23.75,44.75,2
"background",0.75,41.75,2
"background",3.25,39.25,2
"background",10.75,43.75,2
"background",-4.25,43.25,1
"background",23.75,42.75,2
"background",4.25,49.75,3
"background",17.75,45.25,2
