system:index,bio01,bio02,bio04,bio05,bio06,bio12,bio15,coordinat0,coordinat1,dem,gbifID,taxonKey,X,Y
000000000000000004f2,6.98828125,1.63585937023163,93.7439041137695,3.05078125,-1.37179684638977,366.42578125,50.34375,10,,1180.63000488281,4400339677,3189866,-106.941438903013,44.8095020269766
0000000000000000050b,6.76093769073486,0.856914043426514,103.350471496582,2.57785153388977,-1.10902345180511,542.3671875,23.26953125,10,,159.45149230957,4177360308,3189866,38.3863408644289,50.6686493336781
537,2.7109375,1.49898433685303,75.7612075805664,2.41039061546326,-1.32488286495209,415.16015625,33.48828125,10,,1808.57275390625,4171365032,3189866,-113.290819779531,46.3334979122149
0000000000000000053f,4.71171855926514,0.834570288658142,110.063438415527,2.46968746185303,-1.4208984375,551.31640625,28.66796875,10,,125.636764526367,4165786814,3189866,42.9168677985489,54.1115301752458
0000000000000000054f,0.857421875,0.8798828125,132.239028930664,2.39562511444092,-2.18410158157349,388.91796875,48.44921875,10,,150.885208129883,4162390196,3189866,65.8270200140863,55.3843716527498
0000000000000000055a,8.49453163146973,1.09707033634186,91.1573791503906,2.74140620231628,-0.915468752384186,828.65234375,21.0625,10,,242.682800292969,4162074963,3189866,-76.9396215540967,42.6751711441489
585,6.63554668426514,1.17417967319489,107.129455566406,2.77589845657349,-1.50417971611023,780.73046875,37.03125,10,,236.922012329102,4145565984,3189866,-88.5931611020016,44.5221308004862
000000000000000005a0,15.30078125,1.36054682731628,73.9237518310547,3.16660165786743,-0.179804682731628,1433.7890625,18.734375,10,,333.145172119141,4138418452,3189866,-85.6121717839541,33.900289004216
000000000000000005b4,5.92656230926514,1.14414060115814,93.9760131835938,2.51589846611023,-1.33488285541534,1242.71484375,10.8671875,10,,397.571594238281,4137988322,3189866,-73.1935887274105,42.8812217447276
000000000000000005ce,5.802734375,1.22550785541534,95.8403930664063,2.57687497138977,-1.43109369277954,1077.23828125,11.65625,10,,381.169769287109,4134093480,3189866,-72.1328399324126,43.5274480466961
000000000000000005d7,5.71484375,1.04234373569489,86.619255065918,2.40757822990418,-1.16281247138977,1219.1796875,14,10,,43.3054008483887,4133928043,3189866,-63.3173978092975,45.3523396119199
000000000000000005ed,8.71992206573486,1.13039064407349,87.8558959960938,2.7102735042572,-0.901679694652557,1173.8359375,14.26953125,10,,308.473999023438,4130097518,3189866,-76.1841116035103,40.673391499236
000000000000000005f8,6.13984394073486,0.762226581573486,74.2398452758789,2.19085931777954,-0.708984375,563.25,30.5546875,10,,8.7903299331665,4128385849,3189866,16.6023390790403,59.6341892573533
601,14.1144533157349,1.291015625,78.683708190918,3.09378910064697,-0.324726551771164,1346.61328125,15.92578125,10,,286.871154785156,4127255954,3189866,-84.1441509942397,35.8587083504852
603,6.53164052963257,0.830039083957672,100.243125915527,2.47441411018372,-1.11542963981628,584.55078125,23.28125,10,,188.49072265625,4127217514,3189866,36.6520894463185,50.6969289525591
0000000000000000063f,18.2154445648193,1.10866010189056,65.189582824707,3.19357824325562,0.276543825864792,1284.40209960938,29.8333072662354,10,,3.87597894668579,4116515639,3189866,-79.7356696559525,33.0374707867784
641,6.08476543426514,0.946093738079071,93.8539047241211,2.48148441314697,-1.10191404819489,993.55859375,11.4375,10,,312.320465087891,4116505455,3189866,-80.9293799261621,44.0650818607101
661,18.8929691314697,1.31128907203674,67.8385543823242,3.45496082305908,0.208906248211861,861.50390625,31.046875,10,,412.277893066406,4112014665,3189866,-98.4232003242115,30.091530003011
664,15.0500001907349,1.38390624523163,79.7439041137695,3.29535150527954,-0.360429674386978,1440,18.8125,10,,241.46403503418,4112002584,3189866,-93.6306298575847,34.4148603475815
0000000000000000066f,10.1460933685303,1.51703119277954,86.1935577392578,3.34093761444092,-0.681874990463257,239.6171875,45.02734375,10,,1010.4423828125,4111840102,3189866,-114.808488200374,42.9241004604575
690,15.2472658157349,1.40660154819489,62.2657814025879,3.36593747138977,0.179882809519768,891.80078125,82.73828125,10,,431.228546142578,4103161285,3189866,-121.052968724609,38.9308818259746
696,13.0964841842651,1.27406251430511,81.5290603637695,3.08382821083069,-0.458789050579071,1104.64453125,13.9296875,10,,174.811965942383,4102803660,3189866,-78.4202883543986,38.1519303811503
000000000000000006a7,7.94921875,0.819570302963257,90.7477340698242,2.50523447990418,-0.819414079189301,617.765625,28.01953125,10,,103.779663085938,4102574750,3189866,30.6569618529921,50.7312506533675
000000000000000006b7,10.1328125,1.6639062166214,75.7294540405273,3.07371091842651,-0.692421853542328,340.375,33.4765625,10,,1412.50268554688,4096741825,3189866,-112.181457864848,36.0971810748235
000000000000000006d3,17.9652347564697,1.63417971134186,25.4665622711182,3.01687502861023,0.532773435115814,348.49609375,71.234375,10,,1896.54833984375,4091824331,3189866,-101.010731942606,22.1467808697938
000000000000000006d7,12.9816408157349,0.897773444652557,73.5490264892578,2.90378904342651,-0.104101561009884,965.296875,22.3125,10,,70.0901947021484,4091741998,3189866,9.12596946137601,45.1933815775667
000000000000000006da,8.52695274353027,1.18015623092651,89.6441040039063,2.71902346611023,-1.00890624523163,1196.82421875,8.078125,10,,212.899795532227,4091675802,3189866,-73.3308220214313,41.6848003410775
701,9.91054725646973,1.26230466365814,87.0185928344727,2.85464835166931,-0.832734346389771,1024.8359375,15.8671875,10,,336.854675292969,4076286470,3189866,-79.7223904530154,40.3238202721511
711,8.35234355926514,0.977382838726044,78.1102752685547,2.48285150527954,-0.703828096389771,642.9375,38.51953125,10,,265.750183105469,4075914070,3189866,21.2585011853411,48.7292302169976
